disease_name,vitamin,association_strength,confidence_note,source_type
rickets,Vitamin D,high,Classical disease caused by Vitamin D deficiency,medical_textbook
osteomalacia,Vitamin D,high,Strongly linked to prolonged Vitamin D deficiency,medical_textbook
xerophthalmia,Vitamin A,high,Characteristic eye condition caused by Vitamin A deficiency,medical_textbook
night_blindness,Vitamin A,high,Early symptom of Vitamin A deficiency,medical_textbook
dry_eyes,Vitamin A,medium,May be associated with Vitamin A deficiency,clinical_observation
angular_cheilitis,Vitamin B2,high,Commonly associated with riboflavin deficiency,medical_textbook
angular_cheilitis,Vitamin B12,medium,May occur in Vitamin B12 deficiency,clinical_observation
cheilitis,Vitamin B2,medium,Often linked to B-complex deficiencies,clinical_observation
cheilitis,Vitamin B6,low,Possible association in some cases,clinical_observation
dermatitis,Vitamin B3,high,Characteristic feature of pellagra (niacin deficiency),medical_textbook
dermatitis,Vitamin B6,medium,Can be associated with Vitamin B6 deficiency,clinical_observation
dermatitis,Vitamin A,medium,Skin inflammation may relate to Vitamin A deficiency,clinical_observation
eczema,Vitamin E,low,Possible association due to antioxidant deficiency,clinical_observation
eczema,Vitamin D,medium,Vitamin D deficiency linked to eczema flare-ups,clinical_observation
scurvy,Vitamin C,high,Classic manifestation of Vitamin C deficiency,medical_textbook
bleeding_gums,Vitamin C,high,Strong indicator of Vitamin C deficiency,medical_textbook
poor_wound_healing,Vitamin C,medium,Vitamin C plays a role in tissue repair,clinical_observation
hyperkeratosis,Vitamin A,medium,May occur in Vitamin A deficiency,clinical_observation
skin_dryness,Vitamin A,low,Possible association with Vitamin A deficiency,clinical_observation
skin_dryness,Vitamin E,low,May be linked to reduced antioxidant protection,clinical_observation
beriberi,Vitamin B1,high,Classical disease caused by thiamine deficiency,medical_textbook
pellagra,Vitamin B3,high,Classical disease caused by niacin deficiency,medical_textbook
glossitis,Vitamin B2,high,Tongue inflammation associated with riboflavin deficiency,medical_textbook
glossitis,Vitamin B12,high,Common in Vitamin B12 deficiency,medical_textbook
glossitis,Vitamin B3,medium,May occur in niacin deficiency,clinical_observation
stomatitis,Vitamin B2,medium,Mouth inflammation linked to B-vitamin deficiencies,clinical_observation
stomatitis,Vitamin B12,medium,Can occur in Vitamin B12 deficiency,clinical_observation
