vitamin,foods,notes
Vitamin A,Carrots;Spinach;Sweet potato;Milk;Egg yolk,Essential for vision immune function and skin health
Vitamin B2,Milk;Eggs;Almonds;Green leafy vegetables,Supports energy production and skin health
Vitamin B3,Whole grains;Peanuts;Fish;Chicken,Important for skin health and nervous system function
Vitamin B6,Bananas;Chickpeas;Potatoes;Fish,Helps protein metabolism and brain function
Vitamin B12,Milk;Eggs;Meat;Fish,Essential for nerve function and red blood cell formation
Vitamin C,Oranges;Guava;Strawberries;Broccoli,Important for skin healing collagen formation and immunity
Vitamin D,Fatty fish;Egg yolk;Fortified milk;Sunlight,Crucial for bone health and calcium absorption
Vitamin E,Nuts;Seeds;Spinach;Vegetable oils,Acts as an antioxidant protecting skin and cells
Vitamin B1,Whole grains;Pork;Legumes;Nuts;Seeds,Important for energy metabolism and nervous system function
Biotin,Eggs;Nuts;Seeds;Sweet potatoes;Spinach,Important for metabolism and gene regulation
Folate,Leafy greens;Legumes;Citrus fruits;Fortified grains,Essential for DNA synthesis and red blood cell formation
Iron,Red meat;Spinach;Lentils;Tofu;Dark chocolate,Essential for oxygen transport and energy production
Zinc,Meat;Shellfish;Legumes;Seeds;Nuts,Important for immune function and wound healing
Magnesium,Nuts;Seeds;Whole grains;Leafy greens;Dark chocolate,Essential for muscle and nerve function
Calcium,Milk;Cheese;Yogurt;Leafy greens;Fortified foods,Crucial for bone health and muscle function
Vitamin K,Leafy greens;Broccoli;Brussels sprouts;Fish;Eggs,Essential for blood clotting and bone health
